vf_MeanKL,MeanKL,AveragePolicyStd,AverageReturn,LossBefore,MeanKLBefore,Iteration,Perplexity,dLoss,MinReturn,AverageDiscountedReturn,StdReturn,LossAfter,vf_LossAfter,Entropy,vf_LossBefore,vf_dLoss,NumTrajs,MaxReturn,ExplainedVariance
0.0,0.00996551803847,1.0,-35635.5502241,2.82040362652e-16,0.0,1,1.4909223597e+14,0.0203891077183,-669181.97116,-7163.89953086,38165.3207012,-0.0203891077183,124956539.367,32.6355862637,124956539.367,0.0,599,122.793771778,1.04912168337e-05
0.0,0.00994175926834,0.999955809858,-36176.3017944,1.26877864427e-16,0.0,2,1.48939978959e+14,0.0173728678751,-1127665.90546,-7051.28762636,50786.8772138,-0.0173728678751,206335768.676,32.6345645149,206335768.676,0.0,586,93.7486305217,7.07986772586e-06
0.0,0.00996271974886,1.00009560288,-49388.2794044,-1.09179163031e-16,0.0,3,1.49418836521e+14,0.0156363581034,-6918609.5007,-8545.50251084,290679.101903,-0.0156363581034,6020153247.73,32.6377744618,6020153247.73,0.0,573,82.5355105515,8.8169692436e-08
0.0,0.00997192526497,1.00025410469,-33707.5022984,-1.55391755906e-16,0.0,4,1.49963282229e+14,0.0247752019883,-268450.729646,-6728.02279756,26408.0463635,-0.0247752019883,67727807.2514,32.6414115949,67727807.2514,0.0,595,100.167273241,2.43617277654e-05
0.0,0.00995934529398,1.00021603685,-39369.1916621,-3.8731637988e-17,0.0,5,1.49831222894e+14,0.0172220927562,-2623315.69996,-7537.91608738,113381.253798,-0.0172220927562,957949243.649,32.6405305958,957949243.649,0.0,597,190.700371304,9.67104436977e-07
0.0,0.0099413405059,1.00033311951,-37669.1437877,9.26856281157e-17,0.0,6,1.50234255197e+14,0.0173794587215,-1109169.66379,-7787.03312182,52612.8661393,-0.0173794587215,169000124.251,32.6432168932,169000124.251,0.0,573,107.968578573,6.08677001068e-06
0.0,0.00994648677739,1.00038469234,-40370.3788768,1.82749579403e-16,0.0,7,1.50412072692e+14,0.0158356681354,-3276111.58431,-7402.34613528,137405.112432,-0.0158356681354,1391341804.94,32.6443997948,1391341804.94,0.0,596,105.687212289,1.61027140355e-06
0.0,0.00998056545536,1.00032801469,-32642.430763,-2.49045957377e-18,0.0,8,1.5021529888e+14,0.0257524612384,-195157.407428,-6557.92074542,25078.0231367,-0.0257524612384,60651227.7842,32.6430907068,60651227.7842,0.0,609,97.2086671474,2.65480681734e-05
0.0,0.00998885873459,1.0002395506,-34009.0221026,-6.338053774e-17,0.0,9,1.49909169491e+14,0.0249489700068,-266938.511947,-6697.94293124,27148.0665472,-0.0249489700068,74398407.0291,32.6410506899,74398407.0291,0.0,610,82.0199387455,2.10042610528e-05
0.0,0.00995409054084,1.00012447324,-34144.0062815,1.56211957249e-16,0.0,10,1.49513101785e+14,0.0257593037006,-160902.125857,-6776.42118495,22774.8212124,-0.0257593037006,55622025.2626,32.6384051423,55622025.2626,0.0,581,89.3118086531,3.35965227132e-05
0.0,0.00997018980882,1.00022232597,-35576.1623201,-1.07741924203e-16,0.0,11,1.49848754812e+14,0.0256610277338,-344832.895861,-7140.40435309,30291.1932175,-0.0256610277338,83507345.6969,32.6406476001,83507345.6969,0.0,593,90.1410804298,3.21393667198e-05
0.0,0.00995302220656,1.00024970572,-32212.6285054,5.90806573514e-17,0.0,12,1.49942825263e+14,0.025519499901,-225395.382209,-6492.17489277,24118.0737243,-0.025519499901,54179203.74,32.6412751725,54179203.74,0.0,606,113.246393817,3.92881401234e-05
0.0,0.00996501593419,1.00035016412,-35536.8675178,2.2055414666e-17,0.0,13,1.50287379446e+14,0.0178624650733,-1382032.0722,-7090.78794446,61953.6267991,-0.0178624650733,277400556.314,32.6435704401,277400556.314,0.0,586,67.4379911539,7.99459482037e-06
0.0,0.00997878158914,1.00032015534,-34058.4138695,-2.82668286663e-16,0.0,14,1.50183889157e+14,0.0203687782829,-685306.860815,-6525.80406096,35150.4757952,-0.0203687782829,102670532.033,32.6428815869,102670532.033,0.0,581,89.7977223862,1.47321056082e-05
0.0,0.00995892265167,1.00035500104,-32748.9778955,3.10057500576e-16,0.0,15,1.50303776046e+14,0.0238517094158,-325490.19187,-6390.22550891,26848.401484,-0.0238517094158,62581659.1507,32.6436795358,62581659.1507,0.0,598,62.2842020254,2.57065703549e-05
0.0,0.00989986426452,1.00036716578,-38547.4622836,-1.88995522727e-16,0.0,16,1.5034347458e+14,0.0150233919562,-2997993.35867,-7813.59688613,126497.202313,-0.0150233919562,1076071489.66,32.6439436229,1076071489.66,0.0,567,110.179766527,1.19265191445e-06
0.0,0.00996422359695,1.000498592,-35532.395246,4.27056907153e-16,0.0,17,1.50800190372e+14,0.0251340596094,-249074.798865,-6780.31353517,25587.8431495,-0.0251340596094,65061193.2322,32.6469768339,65061193.2322,0.0,562,75.4634827991,2.73664159008e-05
0.0,0.00997436626714,1.00060864863,-67448.0806914,-1.3971820928e-16,0.0,18,1.51182141745e+14,0.0143006600467,-21826383.6817,-16020.8704695,887122.70964,-0.0143006600467,54223782841.4,32.6495064625,54223782841.4,0.0,603,114.571038206,-2.64538788652e-08
0.0,0.00997368256282,1.000822191,-62887.9117569,-1.11583299015e-16,0.0,19,1.5192541782e+14,0.0150747926484,-16539203.427,-7981.35175754,675725.130074,-0.0150747926484,33719472653.1,32.6544108441,33719472653.1,0.0,598,96.6779079875,9.76867905456e-08
0.0,0.00996237583817,1.00081914016,-35942.2699517,2.69806175021e-16,0.0,20,1.51911254386e+14,0.0228866333922,-589727.915273,-7642.76815706,38858.767969,-0.0228866333922,95282503.7764,32.6543176135,95282503.7764,0.0,586,76.7387998227,1.96911876522e-05
0.0,0.00996168535044,1.00072070831,-31840.2812097,-3.5271321376e-17,0.0,21,1.51568321047e+14,0.0251997645001,-162147.811963,-6200.13542743,22057.5205858,-0.0251997645001,47828723.3619,32.6520576032,47828723.3619,0.0,592,139.54510428,3.46548429588e-05
0.0,0.00997885504091,1.00068762355,-33211.6214876,6.24025202312e-16,0.0,22,1.51452836737e+14,0.0210262046354,-543495.758517,-6412.06707075,30493.3106254,-0.0210262046354,81265679.573,32.6512953837,81265679.573,0.0,585,148.653978399,2.46331958891e-05
0.0,0.00996628283363,1.00055404373,-36345.2765007,1.98717510378e-17,0.0,23,1.50988492307e+14,0.0242157029621,-317632.449814,-6915.9201787,30467.0216593,-0.0242157029621,90808333.5958,32.64822474,90808333.5958,0.0,583,92.3968139748,1.91573404216e-05
0.0,0.00992944844089,1.00050787776,-110373.239423,-1.98248097912e-16,0.0,24,1.50826497085e+14,0.0155803126775,-45969280.0007,-7344.86335909,1868333.89586,-0.0155803126775,259259118823.0,32.6471512662,259259118823.0,0.0,604,100.94855753,2.13188352527e-08
0.0,0.00995642638571,1.00042170945,-39717.9040384,-2.29072337472e-16,0.0,25,1.50526642332e+14,0.0184817781288,-1944739.11586,-8172.46340332,96986.7362876,-0.0184817781288,644556405.588,32.6451612099,644556405.588,0.0,569,114.617412637,2.14469401927e-06
0.0,0.00997743160509,1.00050014704,-33042.492141,4.18043453962e-17,0.0,26,1.50798140696e+14,0.0250361657188,-205612.595335,-6634.43158523,24098.066433,-0.0250361657188,59208028.9972,32.6469632418,59208028.9972,0.0,592,61.7261201351,2.39255106996e-05
0.0,0.009999224668,1.0003909953,-32523.5748991,2.57190465641e-16,0.0,27,1.50418755962e+14,0.0237177324064,-328166.734688,-5921.43557856,26231.9010075,-0.0237177324064,63424094.7265,32.6444442269,63424094.7265,0.0,584,81.6639384312,2.49606326761e-05
0.0,0.0099766059304,1.00036713956,-33783.4000508,-2.61403931002e-16,0.0,28,1.50332595229e+14,0.0239107596421,-329303.12239,-6643.11839825,27067.3067867,-0.0239107596421,72463579.304,32.643871257,72463579.304,0.0,593,105.761635632,2.02972353585e-05
0.0,0.00997966007346,1.00036590959,-34419.4606004,-3.00178518187e-17,0.0,29,1.50327957712e+14,0.0254122352822,-324176.625947,-6410.95503394,28851.9933635,-0.0254122352822,76757481.7351,32.6438404081,76757481.7351,0.0,581,70.6427924292,2.26021227173e-05
0.0,0.00997536502944,1.00034882058,-34091.9083738,1.42399634926e-16,0.0,30,1.50271237211e+14,0.0213857924351,-596528.989694,-6120.20284754,34388.4723013,-0.0213857924351,100157682.315,32.6434630252,100157682.315,0.0,577,73.2569197633,1.43614325102e-05
0.0,0.00999223775061,1.00055487243,-32835.1408924,2.50443321555e-16,0.0,31,1.50983328171e+14,0.0225317733521,-431963.458877,-6203.19216858,29078.1774968,-0.0225317733521,78286786.4897,32.6481905372,78286786.4897,0.0,598,92.1473600106,1.91813640055e-05
0.0,0.0099332396055,1.00053313821,-38701.6718847,-3.45920015601e-16,0.0,32,1.50907575655e+14,0.0180402563952,-2409812.91904,-7025.41583623,111512.03713,-0.0180402563952,941745680.589,32.6476886836,941745680.589,0.0,599,85.3344784712,2.19937011181e-06
0.0,0.0099687229662,1.00037033276,-34362.2543197,-4.29689521403e-16,0.0,33,1.50344838025e+14,0.0156390862227,-1182990.00476,-8295.74312491,52319.7776225,-0.0156390862227,71645226.9435,32.6439526917,71645226.9435,0.0,578,85.3607154961,1.52428052266e-05
0.0,0.00997548327167,1.00044003859,-35383.690303,4.59042046148e-16,0.0,34,1.50586070762e+14,0.0217705574836,-668927.946235,-6560.92278261,42943.8522536,-0.0217705574836,154780528.145,32.6455559354,154780528.145,0.0,589,72.4753423049,1.07980495878e-05
0.0,0.00997519998119,1.00045703285,-57076.8901152,1.73824252089e-16,0.0,35,1.50646224972e+14,0.013142138301,-13602765.055,-18826.3281305,554093.476308,-0.013142138301,16158586703.6,32.6459553229,16158586703.6,0.0,608,64.6592772767,1.49266143445e-07
0.0,0.00996467296179,1.00062195699,-102799.545249,-3.33969120826e-16,0.0,36,1.51217261529e+14,0.0142151912514,-37810118.1499,-31682.0730208,1553751.68277,-0.0142151912514,151949279093.0,32.6497387367,151949279093.0,0.0,595,154.128740104,4.0790411826e-08
0.0,0.00998012824593,1.00057318918,-33567.1658868,-2.40508969369e-16,0.0,37,1.51048777348e+14,0.0227166758582,-445666.810672,-6677.71964855,32857.0983552,-0.0227166758582,90301529.4537,32.6486239294,90301529.4537,0.0,592,103.79902575,1.83297456774e-05
0.0,0.00997384596442,1.00050967472,-36999.0219825,6.45391598977e-17,0.0,38,1.50827046643e+14,0.0166609505336,-2208553.59417,-6843.01239706,94036.2523807,-0.0166609505336,642105481.011,32.6471549098,642105481.011,0.0,569,76.6322093931,1.01907279437e-06
0.0,0.0099795016617,1.00059037589,-35121.8315894,-3.11369250303e-16,0.0,39,1.51105004811e+14,0.019675342656,-877131.761293,-6557.75141405,42327.864528,-0.019675342656,137798266.838,32.6489961072,137798266.838,0.0,559,151.97069743,1.30450693199e-05
0.0,0.00989135891305,1.0005309574,-36756.0214182,2.21838746231e-16,0.0,40,1.50896804436e+14,0.0151028237613,-1826106.47591,-9123.07820494,80375.7107501,-0.0151028237613,336794202.612,32.6476173048,336794202.612,0.0,597,88.7278045543,6.06929149749e-06
0.0,0.00998748120894,1.00056452958,-32299.1664055,-2.89882126207e-17,0.0,41,1.51011653723e+14,0.0234871637108,-437760.541237,-6724.93170983,27762.4468995,-0.0234871637108,49592015.2923,32.6483781267,49592015.2923,0.0,576,98.2726640874,3.49500459035e-05
0.0,0.00998315492124,1.00036711432,-32144.732564,-3.53701667488e-16,0.0,42,1.50326092352e+14,0.0230347815915,-304076.227382,-6674.64849012,25595.2824687,-0.0230347815915,53612830.6283,32.6438279994,53612830.6283,0.0,581,64.4945448835,2.47855349979e-05
0.0,0.00997902459716,1.0002835153,-41509.8429106,2.23875040035e-16,0.0,43,1.50039931385e+14,0.01910599457,-1486394.77102,-6572.93041602,86470.725791,-0.01910599457,539924916.478,32.6419225838,539924916.478,0.0,548,130.072540652,1.69805954942e-06
0.0,0.00995646570419,1.00038234742,-36368.3679069,1.9485433286e-16,0.0,44,1.50382803639e+14,0.0200100131598,-1066340.43995,-6419.70180318,53820.7498847,-0.0200100131598,219981619.2,32.6442051834,219981619.2,0.0,568,88.6523545396,8.98688183459e-06
0.0,0.00998722813806,1.00040485447,-34476.4306733,7.7544203161e-17,0.0,45,1.50461177762e+14,0.0174364437775,-975267.534861,-6609.69060798,45178.4897759,-0.0174364437775,156716953.337,32.6447262118,156716953.337,0.0,560,106.506271874,7.20701709089e-06
0.0,0.00992699869815,1.00042048831,-55243.1191624,-1.29144741855e-16,0.0,46,1.50513420587e+14,0.0151088206447,-13605907.1638,-7846.56516808,558129.929652,-0.0151088206447,22674638467.3,32.6450733695,22674638467.3,0.0,593,73.7130922722,-1.22301044847e-08
0.0,0.00995501966359,1.00038768202,-35570.7351031,-4.10253258008e-16,0.0,47,1.50398260418e+14,0.0234886386944,-418833.010313,-6601.25448875,30492.841615,-0.0234886386944,82605620.7322,32.644307961,82605620.7322,0.0,558,157.678048581,2.33066867541e-05
0.0,0.00997782032036,1.00047634331,-34147.1356425,4.34101266351e-16,0.0,48,1.50703546518e+14,0.0234783845876,-391144.76959,-6663.45947501,28675.7766885,-0.0234783845876,76490047.2497,32.6463357549,76490047.2497,0.0,581,96.9547376646,1.9625317733e-05
0.0,0.00994363493981,1.00049834929,-37272.8456783,-4.19217238597e-16,0.0,49,1.50778229534e+14,0.0173333914435,-1806494.92858,-6741.06448918,78866.2577385,-0.0173333914435,456976646.469,32.6468311946,456976646.469,0.0,565,97.3245507662,2.40953226438e-06
0.0,0.00994779250118,1.00051639866,-34429.1878513,-3.52861579367e-16,0.0,50,1.50837074886e+14,0.0167752995737,-1446638.51428,-6355.57028653,62689.4865301,-0.0167752995737,293986256.277,32.647221396,293986256.277,0.0,571,109.05955972,3.20073005466e-06
0.0,0.00996360348822,1.00064617419,-35784.2382583,2.61121789089e-16,0.0,51,1.51286242459e+14,0.0169330178562,-1872521.3363,-6459.99278294,82392.8488406,-0.0169330178562,500405245.817,32.6501948037,500405245.817,0.0,581,83.6035062867,3.68946819496e-06
0.0,0.00996905924556,1.00060463556,-36915.5270132,-2.31866149694e-17,0.0,52,1.51140394629e+14,0.0163082684951,-3286251.76233,-6161.86082747,136909.938097,-0.0163082684951,1361549568.5,32.6492302865,1361549568.5,0.0,582,81.6066604383,7.8447023899e-07
0.0,0.00994955276069,1.0005459036,-36455.9029574,-9.13815809149e-17,0.0,53,1.50939115061e+14,0.0201206088081,-763130.25679,-7481.28953236,51880.9433422,-0.0201206088081,187050570.118,32.6478976599,187050570.118,0.0,573,87.284082178,6.26263463521e-06
0.0,0.00974783776931,1.0004453596,-37928.5758205,-1.4045928858e-16,0.0,54,1.50589835118e+14,0.0112796952509,-1947707.48514,-10270.3294899,83693.9647744,-0.0112796952509,102854964.471,32.6455809331,102854964.471,0.0,567,77.9310943351,1.2808836815e-05
0.0,0.00998658426259,1.00040095668,-33359.7992106,4.39594761805e-16,0.0,55,1.50438010195e+14,0.0223027683107,-503087.599623,-6571.09626566,31625.3604285,-0.0223027683107,88877660.7955,32.6445722229,88877660.7955,0.0,603,77.8474192265,1.80992838775e-05
0.0,0.00995715778395,1.00030955689,-35119.234156,8.68862411337e-17,0.0,56,1.50119676566e+14,0.0189035631333,-1682492.32415,-6191.34454017,77632.4639706,-0.0189035631333,435499227.375,32.6424539357,435499227.375,0.0,579,84.0445501832,4.2291806237e-06
0.0,0.00997834634788,1.00033603988,-41746.6150165,-8.77596548857e-17,0.0,57,1.50211058201e+14,0.0169202037328,-3801947.12805,-7721.57170022,164306.992061,-0.0169202037328,1916138432.08,32.6430624757,1916138432.08,0.0,578,120.789136835,1.22043539541e-06
0.0,0.00998175213859,1.00029080571,-32025.4385258,1.351937811e-15,0.0,58,1.50053657926e+14,0.0261028693823,-138006.155528,-6246.02206698,20991.0793548,-0.0261028693823,45533083.8502,32.6420140656,45533083.8502,0.0,579,132.67802193,3.48200849719e-05
0.0,0.00991593863871,1.00011137598,-155335.811,-8.38051250438e-18,0.0,59,1.49438096641e+14,0.0111614831517,-73293064.3396,-94285.0217406,2996145.23025,-0.0111614831517,327315221116.0,32.6379033537,327315221116.0,0.0,597,111.522496725,8.99967856904e-08
