LossBefore,Iteration,NumTrajs,MeanKL,ExplainedVariance,Entropy,Perplexity,LossAfter,vf_MeanKL,MinReturn,dLoss,AverageDiscountedReturn,vf_LossBefore,AverageReturn,vf_dLoss,vf_LossAfter,MaxReturn,StdReturn,MeanKLBefore,AveragePolicyStd
-1.70803222254e-17,1,13269,0.00993548127973,0.00010649979615,32.6355862637,1.4909223597e+14,-0.0138897259788,0.0,-66062.9116874,0.0138897259788,39.0762263979,98223.3981121,19.2567362295,0.0,98223.3981121,380.395062531,617.658443779,0.0,1.0
2.9379937141e-18,2,13629,0.00998899337523,0.000390347245861,32.6362928741,1.49197623318e+14,-0.0276187018005,0.00944300020183,-1832.90353522,0.0276187018005,61.1701314033,29157.5298033,45.3718606687,5305.52094556,23852.0088578,399.945139997,208.572038971,0.0,1.0000309172
3.73048390901e-17,3,14376,0.00984832220963,0.00012929571185,32.6395318449,1.49681653531e+14,-0.0128506768787,0.00600454978685,-58961.9144898,0.0128506768787,82.6156869623,45205.7530213,71.7392258279,6648.52971609,38557.2233052,515.041371112,523.307236877,0.0,1.0001722625
5.89037413157e-17,4,14589,0.00640199065141,0.000280090184373,32.6314531368,1.48477290537e+14,-0.0222622800826,0.00719159291688,-1490.63486511,0.0222622800826,98.5235677986,12498.2221671,90.1771454355,2001.42802216,10496.7941449,704.894194681,163.338715081,0.0,0.999821132295
-8.50040414154e-18,5,15376,0.00640765785596,0.000148447072725,32.6237370204,1.4733603119e+14,-0.022118822916,0.00330241960862,-1540.84398854,0.022118822916,116.163895617,8149.65736333,111.245544465,900.956476515,7248.70088682,665.258995202,140.152943997,0.0,0.999485762699
-4.94890093721e-17,6,15828,0.00640928073666,-7.57601528683e-05,32.6148858625,1.46037691096e+14,-0.02178414379,0.00734687629358,-3479.61829235,0.02178414379,126.1418647,6325.38869609,123.18419071,1023.0219606,5302.36673549,529.499251768,131.526783756,0.0,0.999101599748
-1.17022930904e-16,7,16364,0.00641444534475,-0.000237610225433,32.6026382367,1.44259984663e+14,-0.0214910795355,0.00375946651663,-1239.20729419,0.0214910795355,138.343523741,4371.20294998,137.4747945,514.149128486,3857.0538215,514.451556116,113.856492164,0.0,0.998570511114
5.41375096161e-17,8,16944,0.00640427153105,-0.000363769686518,32.5878667985,1.42144718437e+14,-0.0149948654937,0.00622735748093,-26444.8945004,0.0149948654937,146.325198401,5767.67595719,147.225521406,862.772588296,4904.90336889,591.651295743,226.64458844,0.0,0.997929951904
-1.09884270747e-16,9,17313,0.00642180039977,-0.000899979446201,32.5780988716,1.40763018377e+14,-0.0202941287043,0.00541067467403,-7447.50334872,0.0202941287043,153.334675453,2669.17853907,155.243202966,373.400728048,2295.77781102,547.520043458,107.876695259,0.0,0.997507518403
-3.49576189701e-17,10,17783,0.00999931608863,-0.00142367971553,32.5658961651,1.39055766313e+14,-0.0255584923252,0.00293248802036,-1061.26554565,0.0255584923252,159.85760033,1912.3790511,162.830667286,199.515518291,1712.86353281,479.626116729,81.5997158675,0.0,0.996980847999
